x	yn2	yAc	ymeth	Mg
0	0.1512	0.3252	0.5236	3.99E-02
0.005	0.15844143	0.322640534	0.518918036	3.98E-02
0.01	0.165707843	0.320089852	0.514202305	3.97E-02
0.015	0.17302642	0.317535528	0.509438052	3.96E-02
0.02	0.180424344	0.314965136	0.50461052	3.95E-02
0.025	0.187928797	0.31236625	0.499704953	3.94E-02
0.03	0.195566961	0.309726444	0.494706595	3.93E-02
0.035	0.203366019	0.307033292	0.489600689	3.92E-02
0.04	0.211353152	0.304274368	0.48437248	3.91E-02
0.045	0.219555543	0.301437246	0.479007211	3.90E-02
0.05	0.228000375	0.2985095	0.473490125	3.89E-02
0.055	0.236714829	0.295478704	0.467806467	3.88E-02
0.06	0.245726088	0.292332432	0.46194148	3.87E-02
0.065	0.255061334	0.289058258	0.455880408	3.85E-02
0.07	0.264747749	0.285643756	0.449608495	3.84E-02
0.075	0.274812516	0.2820765	0.443110984	3.83E-02
0.08	0.285282816	0.278344064	0.43637312	3.81E-02
0.085	0.296185832	0.274434022	0.429380146	3.80E-02
0.09	0.307548747	0.270333948	0.422117305	3.78E-02
0.095	0.319398742	0.266031416	0.414569842	3.77E-02
0.1	0.331763	0.261514	0.406723	3.75E-02
0.105	0.344668703	0.256769274	0.398562023	3.73E-02
0.11	0.358143033	0.251784812	0.390072155	3.71E-02
0.115	0.372213173	0.246548188	0.381238639	3.70E-02
0.12	0.386906304	0.241046976	0.37204672	3.68E-02
0.125	0.402249609	0.23526875	0.362481641	3.65E-02
0.13	0.418270271	0.229201084	0.352528645	3.63E-02
0.135	0.434995471	0.222831552	0.342172977	3.61E-02
0.14	0.452452392	0.216147728	0.33139988	3.58E-02
0.145	0.470668216	0.209137186	0.320194598	3.56E-02
0.15	0.489670125	0.2017875	0.308542375	3.53E-02
0.155	0.509485302	0.194086244	0.296428454	3.50E-02
0.16	0.530140928	0.186020992	0.28383808	3.47E-02
0.165	0.551664186	0.177579318	0.270756496	3.44E-02
0.17	0.574082259	0.168748796	0.257168945	3.41E-02
0.175	0.597422328	0.159517	0.243060672	3.38E-02
0.18	0.621711576	0.149871504	0.22841692	3.34E-02
0.185	0.646977185	0.139799882	0.213222933	3.31E-02
0.19	0.673246337	0.129289708	0.197463955	3.27E-02
0.195	0.700546215	0.118328556	0.181125229	3.23E-02
0.2	0.728904	0.106904	0.164192	3.19E-02
0.205	0.758346875	0.095003614	0.146649511	3.15E-02
0.21	0.788902023	0.082614972	0.128483005	3.10E-02
0.215	0.820596625	0.069725648	0.109677727	3.05E-02
0.22	0.853457864	0.056323216	0.09021892	3.01E-02
0.225	0.887512922	0.04239525	0.070091828	2.96E-02
0.23	0.922788981	0.027929324	0.049281695	2.90E-02
0.235	0.959313224	0.012913012	0.027773764	2.85E-02
